Path,Name,Image Area,Pixel Size,Number of holes,Total hole size,Average hole size,Density
images/sanitized/Si-NbTiN_TiP-Alu_120_0008.bmp,Si-NbTiN|450,59737041853.62973,55.12153,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_120_0012.bmp,SiC|450,59737041853.62973,55.12153,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_200_0001_0012.bmp,SiN|3500,987489636.6759248,7.087053,35,246732.0,7049.4857142857145,3.443074108043338e-08
images/sanitized/SiC_TiP-Alu_120_0010.bmp,SiC|3000,1344083279.146667,8.268229,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_120_0011.bmp,SiC|1300,7157841102.390558,19.08053,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_200_0001_0013.bmp,SiN|1200,8400518462.666835,20.67057,31,161096.5,5196.6612903225805,3.571208150226025e-09
images/sanitized/SiC_TiP-Alu_175_0010.bmp,SiC|400,75604690548.00003,62.01172,3,425.0,141.66666666666666,2.6453385173638622e-11
images/sanitized/SiN_TiP-Alu_200_0001_0014.bmp,SiN|400,75604690548.00003,62.01172,71,352177.5,4960.2464788732395,9.258684810773518e-10
images/sanitized/SiC_TiP-Alu_175_0007.bmp,SiC|18000,37335637.6118526,1.378038,1,0,0.0,0.0
images/sanitized/Si-NbTiN_TiP-Alu_200_0001_0008.bmp,Si-NbTiN|400,75604690548.00003,62.01172,9,17710.5,1967.8333333333333,1.0581354069455449e-10
images/sanitized/SiC_TiP-Alu_200_0001_0011.bmp,SiC|400,75604690548.00003,62.01172,118,64716.0,548.4406779661017,1.5475230326578594e-09
images/sanitized/SiC_TiP-Alu_150_0010.bmp,SiC|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_200_0001_0010.bmp,SiC|1200,8400518462.666835,20.67057,39,90784.5,2327.8076923076924,4.523530323619632e-09
images/sanitized/SiN_TiP-Alu_175_0013.bmp,SiN|400,75604690548.00003,62.01172,15,14759.0,983.9333333333333,1.8517369621547035e-10
images/sanitized/Si_TiP-Alu_175_0002.bmp,Si|1200,8400518462.666835,20.67057,9,10006.0,1111.7777777777778,9.523221733936067e-10
images/sanitized/SiN_TiP-Alu_120_0016.bmp,SiN|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_200_0001_0009.bmp,SiC|3000,1344083279.146667,8.268229,4,45835.5,11458.875,2.232004553992103e-09
images/sanitized/SiC_TiP-Alu_150_0009.bmp,SiC|1200,8400518462.666835,20.67057,3,2693.5,897.8333333333334,2.380805433484017e-10
images/sanitized/SiC_TiP-Alu_150_0008.bmp,SiC|3000,1344083279.146667,8.268229,3,12012.5,4004.1666666666665,1.4880030359947354e-09
images/sanitized/Si_TiP-Alu_200_0001_0001.bmp,Si|35000,9874899.153502079,0.7087054,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_175_0003.bmp,Si|400,75604690548.00003,62.01172,3,5497.5,1832.5,2.6453385173638622e-11
images/sanitized/Si-NbTiN_TiP-Alu_150_0007.bmp,Si-NbTiN|400,75604690548.00003,62.01172,4,27305.0,6826.25,3.968007776045793e-11
images/sanitized/SiN_TiP-Alu_175_0012.bmp,SiN|1200,8400518462.666835,20.67057,19,58145.0,3060.2631578947367,2.142724890135615e-09
images/sanitized/Si-NbTiN_TiP-Alu_150_0005.bmp,Si-NbTiN|3000,1344083279.146667,8.268229,24,20153.0,839.7083333333334,1.7112034913939457e-08
images/sanitized/Si_TiP-Alu_175_0001.bmp,Si|3000,1344083279.146667,8.268229,14,49168.0,3512.0,9.67201973396578e-09
images/sanitized/Si_TiP-Alu_200_0001_0003.bmp,Si|1200,8400518462.666835,20.67057,78,52587.5,674.1987179487179,9.166100918913465e-09
images/sanitized/SiN_TiP-Alu_120_0015.bmp,SiN|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_120_0004.bmp,Si|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_120_0014.bmp,SiN|3000,1344083279.146667,8.268229,3,924.0,308.0,1.4880030359947354e-09
images/sanitized/Si_TiP-Alu_200_0001_0002.bmp,Si|5000,483870097.53600484,4.960938,10,96354.5,9635.45,1.8600033450776133e-08
images/sanitized/Si-NbTiN_TiP-Alu_150_0004.bmp,Si-NbTiN|5000,483870097.53600484,4.960938,15,11439.0,762.6,2.8933385367873985e-08
images/sanitized/SiN_TiP-Alu_175_0011.bmp,SiN|3000,1344083279.146667,8.268229,14,155533.0,11109.5,9.67201973396578e-09
images/sanitized/Si_TiP-Alu_120_0001.bmp,Si|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_120_0013.bmp,SiN|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_120_0002.bmp,Si|3000,1344083279.146667,8.268229,5,993.5,198.7,2.9760060719894707e-09
images/sanitized/Si_TiP-Alu_120_0003.bmp,Si|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_200_0001_0004.bmp,Si|400,75604690548.00003,62.01172,12,5994.5,499.5416666666667,1.4549361845501242e-10
images/sanitized/Si-NbTiN_TiP-Alu_200_0001_0005.bmp,Si-NbTiN|30000,13440832.791466674,0.8268229,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_150_0011.bmp,SiN|3000,1344083279.146667,8.268229,12,235761.5,19646.791666666668,8.184016697971044e-09
images/sanitized/Si_TiP-Alu_150_0001.bmp,Si|3000,1344083279.146667,8.268229,26,335962.0,12921.615384615385,1.8600037949934192e-08
images/sanitized/Si-NbTiN_TiP-Alu_175_0005.bmp,Si-NbTiN|1200,8400518462.666835,20.67057,251,1266835.0,5047.151394422311,2.976006791855021e-08
images/sanitized/Si-NbTiN_TiP-Alu_200_0001_0006.bmp,Si-NbTiN|3000,1344083279.146667,8.268229,66,111170.0,1684.3939393939395,4.83600986698289e-08
images/sanitized/SiC_TiP-Alu_175_0008.bmp,SiC|3000,1344083279.146667,8.268229,4,4894.0,1223.5,2.232004553992103e-09
images/sanitized/SiN_TiP-Alu_150_0012.bmp,SiN|3000,1344083279.146667,8.268229,11,223256.5,20296.045454545456,7.440015179973678e-09
images/sanitized/Si_TiP-Alu_150_0003.bmp,Si|450,59737041853.62973,55.12153,6,31214.0,5202.333333333333,8.370016065159729e-11
images/sanitized/Si_TiP-Alu_150_0002.bmp,Si|1300,7157841102.390558,19.08053,13,123138.5,9472.192307692309,1.6764831502046434e-09
images/sanitized/SiN_TiP-Alu_150_0013.bmp,SiN|1200,8400518462.666835,20.67057,9,348959.0,38773.22222222222,9.523221733936067e-10
images/sanitized/Si-NbTiN_TiP-Alu_175_0006.bmp,Si-NbTiN|400,75604690548.00003,62.01172,3,3148.0,1049.3333333333333,2.6453385173638622e-11
images/sanitized/SiC_TiP-Alu_175_0009.bmp,SiC|1200,8400518462.666835,20.67057,2,485.0,242.5,1.1904027167420084e-10
images/sanitized/Si-NbTiN_TiP-Alu_200_0001_0007.bmp,Si-NbTiN|1200,8400518462.666835,20.67057,198,97934.0,494.6161616161616,2.3450933519817566e-08
images/sanitized/Si-NbTiN_TiP-Alu_120_0007.bmp,Si-NbTiN|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_120_0009.bmp,SiC|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/Si-NbTiN_TiP-Alu_120_0006.bmp,Si-NbTiN|3000,1344083279.146667,8.268229,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_150_0014.bmp,SiN|400,75604690548.00003,62.01172,3,53084.5,17694.833333333332,2.6453385173638622e-11
images/sanitized/Si-NbTiN_TiP-Alu_120_0005.bmp,Si-NbTiN|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
